"source"	"concept"	"field"	"note"
"patient"	"dataset"	"patient"	"rows=75572, cols=5"
"t_dalycare_diagnoses"	"dataset"	"t_dalycare_diagnoses"	"rows=4083963, cols=6"
"diagnoses_all"	"dataset"	"diagnoses_all"	"rows=37855129, cols=6"
"RKKP_DaMyDa"	"dataset"	"RKKP_DaMyDa"	"rows=14805, cols=352"
"RKKP_LYFO"	"dataset"	"RKKP_LYFO"	"rows=27061, cols=198"
"RKKP_CLL"	"dataset"	"RKKP_CLL"	"rows=7884, cols=80"
"SDS_epikur"	"dataset"	"SDS_epikur"	"rows=25573577, cols=15"
"SDS_ekokur"	"dataset"	"SDS_ekokur"	"rows=26532967, cols=22"
"SDS_indberetningmedpris"	"dataset"	"SDS_indberetningmedpris"	"rows=18167248, cols=27"
"SDS_t_adm"	"dataset"	"SDS_t_adm"	"rows=2329847, cols=26"
"SDS_t_diag"	"dataset"	"SDS_t_diag"	"rows=12212398, cols=6"
"SDS_t_sksopr"	"dataset"	"SDS_t_sksopr"	"rows=2451920, cols=11"
"SDS_t_sksube"	"dataset"	"SDS_t_sksube"	"rows=40459037, cols=11"
"SDS_t_udtilsgh"	"dataset"	"SDS_t_udtilsgh"	"rows=2077903, cols=5"
"SDS_pato"	"dataset"	"SDS_pato"	"rows=5311994, cols=12"
"SDS_lab_forsker"	"dataset"	"SDS_lab_forsker"	"rows=129855400, cols=14"
"SDS_t_tumor"	"dataset"	"SDS_t_tumor"	"rows=106316, cols=29"
"SDS_kontakter"	"dataset"	"SDS_kontakter"	"rows=5783674, cols=25"
"SDS_forloeb"	"dataset"	"SDS_forloeb"	"rows=1211439, cols=14"
"SDS_diagnoser"	"dataset"	"SDS_diagnoser"	"rows=13850949, cols=9"
"SDS_forloebsmarkoerer"	"dataset"	"SDS_forloebsmarkoerer"	"rows=2314618, cols=7"
"SDS_organisationer"	"dataset"	"SDS_organisationer"	"rows=321870, cols=57"
"SDS_resultater"	"dataset"	"SDS_resultater"	"rows=7802725, cols=16"
"SP_VitaleVaerdier"	"dataset"	"SP_VitaleVaerdier"	"rows=64124202, cols=18"
"SP_Social_Hx"	"dataset"	"SP_Social_Hx"	"rows=368831, cols=9"
"SP_PatientInfo"	"dataset"	"SP_PatientInfo"	"rows=58216, cols=9"
"SP_AlleProvesvar"	"dataset"	"SP_AlleProvesvar"	"rows=43418734, cols=9"
"SP_Bloddyrkning_del1"	"dataset"	"SP_Bloddyrkning_del1"	"rows=1190521, cols=11"
"SP_Bloddyrkning_del2"	"dataset"	"SP_Bloddyrkning_del2"	"rows=437742, cols=11"
"SP_Bloddyrkning_del3"	"dataset"	"SP_Bloddyrkning_del3"	"rows=1336652, cols=11"
"SP_Bloddyrkning_del4"	"dataset"	"SP_Bloddyrkning_del4"	"rows=1137151, cols=6"
"SP_Flytningshistorik"	"dataset"	"SP_Flytningshistorik"	"rows=3939712, cols=9"
"SP_ITAOphold"	"dataset"	"SP_ITAOphold"	"rows=17820, cols=21"
"SP_OrdineretMedicin"	"dataset"	"SP_OrdineretMedicin"	"rows=8699462, cols=19"
"SP_Behandlingsniveau"	"dataset"	"SP_Behandlingsniveau"	"rows=66971, cols=9"
"PERSIMUNE_microbiology_analysis"	"dataset"	"PERSIMUNE_microbiology_analysis"	"rows=3596374, cols=85"
"PERSIMUNE_microbiology_culture"	"dataset"	"PERSIMUNE_microbiology_culture"	"rows=1336940, cols=81"
"PERSIMUNE_microbiology_culture_resistance"	"dataset"	"PERSIMUNE_microbiology_culture_resistance"	"rows=813817, cols=36"
"PERSIMUNE_microbiology_microscopy"	"dataset"	"PERSIMUNE_microbiology_microscopy"	"rows=128028, cols=60"
"PERSIMUNE_biochemistry"	"dataset"	"PERSIMUNE_biochemistry"	"rows=39151145, cols=47"
"LAB_IGHVIMGT"	"dataset"	"LAB_IGHVIMGT"	"rows=2436, cols=12"
"LAB_Flowcytometry"	"dataset"	"LAB_Flowcytometry"	"rows=11712, cols=37"
"LAB_CLLPANEL_WIDE"	"dataset"	"LAB_CLLPANEL_WIDE"	"rows=314, cols=101"
"LAB_BIOBANK_SAMPLES"	"dataset"	"LAB_BIOBANK_SAMPLES"	"rows=42992, cols=4"
"CLL_TREAT"	"dataset"	"CLL_TREAT"	"rows=595, cols=95"
"CLL_TREAT_IBRUTINIB"	"dataset"	"CLL_TREAT_IBRUTINIB"	"rows=195, cols=106"
"SP_Social_Hx"	"social_columns"	"ryger / drikker"	"smoking / alcohol"
"SDS_epikur"	"epikur_columns"	"atc / NA / eksd"	"atc / sks / date"
