"source_name"	"object_name"	"column"	"value"	"n"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Stadie"	"1"	"6122"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Stadie"	"2"	"3996"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Stadie"	"3"	"2783"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_PerformanceStatus"	"0"	"7008"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_PerformanceStatus"	"1"	"4818"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_PerformanceStatus"	"2"	"1730"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_PerformanceStatus"	"3"	"773"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_PerformanceStatus"	"4"	"289"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"PB_PerformanceStatus"	"0"	"230"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"PB_PerformanceStatus"	"1"	"184"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"PB_PerformanceStatus"	"2"	"44"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"PB_PerformanceStatus"	"3"	"12"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"PB_PerformanceStatus"	"4"	"9"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"SB_SenesteBesoegRemission_dt"	"1960-01-01 06:01:36"	"1"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"SB_SenesteBesoegRemission_dt"	"1960-01-01 06:13:53"	"1"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"SB_SenesteBesoegRemission_dt"	"1960-01-01 06:16:42"	"1"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"SB_SenesteBesoegRemission_dt"	"1960-01-01 06:17:22"	"1"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"SB_SenesteBesoegRemission_dt"	"1960-01-01 06:24:04"	"1"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"SB_SenesteBesoegRemission_dt"	"1960-01-01 06:24:25"	"1"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"SB_SenesteBesoegRemission_dt"	"1960-01-01 06:24:28"	"1"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"SB_SenesteBesoegRemission_dt"	"1960-01-01 06:24:30"	"1"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"SB_SenesteBesoegRemission_dt"	"1960-01-01 06:24:31"	"1"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"SB_SenesteBesoegRemission_dt"	"1960-01-01 06:24:50"	"1"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"SB_SenesteBesoegRemission_dt"	"1960-01-01 06:26:48"	"1"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"SB_SenesteBesoegRemission_dt"	"1960-01-01 06:27:52"	"1"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"SB_SenesteBesoegRemission_dt"	"1960-01-01 06:28:05"	"1"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"SB_SenesteBesoegRemission_dt"	"1960-01-01 06:29:25"	"1"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"SB_SenesteBesoegRemission_dt"	"1960-01-01 06:29:47"	"1"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"FU_PerformanceStatus"	"0"	"184"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"FU_PerformanceStatus"	"4"	"160"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"FU_PerformanceStatus"	"1"	"128"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"FU_PerformanceStatus"	"3"	"78"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"FU_PerformanceStatus"	"2"	"77"
